nama_twitter,tanggal_tweet,isi_tweet,sentimen
SiWemp,"11/08/2021, 06:12:10","RT @RenaHoston178: Setelah dunia berangsur-angsur pulih dari pandemi Covid-19, fondasi tersebut akan menciptakan kesempatan bagi Indonesia…",pos
liquidrocx,"11/08/2021, 06:10:08","RT @jokowi: Pekan kemarin, Indonesia mencapai babak baru vaksinasi massal Covid-19, yakni telah menyuntikkan lebih dari 200 juta dosis vaks…",neutral
MadeImadebawa2,"11/08/2021, 06:09:32",Kegiatan Konferensi IAWP menjadi bukti kepada seluruh dunia bahwa Indonesia mampu melaksanakan acara berskala Inter… https://t.co/uKMWDvcxOm,pos
eka_dara97,"11/08/2021, 06:09:00",RT @ballapann: Vaksinasi untuk anak usia sekolah dasar ini dianggap penting karena jumlah anak di Indonesia yang mengidap Covid-19 tergolon…,pos
detikfinance,"11/08/2021, 06:07:59",Indonesia akan mengimpor obat COVID-19 Molnupiravir sebanyak 600 ribu sampai 1 juta tablet pada Desember mendatang. https://t.co/FtUoQwshRZ,neutral
PolresTts,"11/08/2021, 06:06:00","""Kita harapkan momen ini menjadi momen bagi kita untuk menunjukkan kepada dunia bahwa Indonesia mampu menghentikan… https://t.co/Lu52682B5v",neutral
jojomen20,"11/08/2021, 06:05:33",Kegiatan Konferensi IAWP menjadi bukti kepada seluruh dunia bahwa Indonesia mampu melaksanakan acara berskala Inter… https://t.co/O6TP5wxNuV,neutral
PARTOWIJOYO69,"11/08/2021, 06:04:25","RT @myputun: Tingkat Kelaparan Indonesia Peringkat Tiga Tertinggi di Asia Tenggara pada 2021.
MIRISSSS!!!
Hanya Setahun Harta Kekayaan Peja…",neg
greennino,"11/08/2021, 06:03:38",RT @budimandjatmiko: Pria India yg dgn kekuatan bisnis/ekonominya memungkinkan penyebaran vaksin anti #COVID19 merata/meluas &amp; seorang pere…,pos
WismaBeritaCom,"11/08/2021, 06:03:16",Presiden: Indonesia capai babak baru dalam vaksinasi COVID-19 https://t.co/eaCNVHxDFq,neutral
Aryprasetyo85,"11/08/2021, 05:58:53","RT @ABSetyono: Menkominfo @PlateJohnny : Kominfo Prioritaskan Tiga Agenda dalam G20 Indonesia 2022

@kemkominfo memberikan tiga isu priorit…",neutral
Bewok77650041,"11/08/2021, 05:58:24","RT @TedHilbert: Video bagus tentang kontrak vaksin rahasia. Hal yang sama juga terjadi di Indonesia.
Kami juga telah menerbitkan kontrak ra…",pos
TribunHealth,"11/08/2021, 05:55:03","Indonesia Dinyatakan Memiliki Tingkat Penularan Rendah, Jubir Vaksin Ingatkan Varian Baru Covid-19… https://t.co/FXY8aGTy4n",pos
KuretaID,"11/08/2021, 05:53:23","Jokowi: Indonesia Capai Babak Baru Vaksinasi Massal Covid-19

@jokowi
#vaksinasi
 https://t.co/tTsNckcAXm",neutral
apien_k19,"11/08/2021, 05:50:57","RT @asumsico: Per hari Minggu (7/11/2021), kasus positif Covid-19 di Indonesia bertambah 444 orang. Sementara kasus kesembuhan bertambah 58…",neg
lie_hato12,"11/08/2021, 05:50:55","RT @AbimanyuDerrien: Ekonomi Tumbuh Positif di Puncak Pandemi, BUKTI Adaptasi New Normal Berjalan Baik.

Indonesia berhasil memprthnkn pert…",pos
keilasepta,"11/08/2021, 05:49:32","RT @Alin_tan11: Dengan perolehan skor tersebut, Indonesia masih menempati peringkat teratas di Asia Tenggara dalam pemulihan Covid-19 menur…",neutral
keilasepta,"11/08/2021, 05:49:21",RT @Alin_tan11: Indonesia diapresiasi sebagai salah satu negara yang berhasil dalam menangani pandemi Covid-19 karena mampu menurunkan kasu…,pos
